Affinity table. Each row shows the affinity of a person towards the other persons.
 ;Arthur;Lancelot;Gawain;Geraint;Percival;Bors the Younger;Lamorak;Kay Sir Gareth;Bedivere;Gaheris;Galahad;Tristan
Arthur;1;0.84;0.76;0.42;0.26;0.51;0.4;0.78;0.3;0.48;0.58;0.91
Lancelot;0.5;1;0.28;0.76;0.62;0.25;0.91;0.98;0.81;0.9;0.31;0.73
Gawain;0.9;0.68;1;0.47;0.1;0.43;0.61;0.91;0.97;0.48;0.87;0.26
Geraint;0.81;0.55;0.01;1;0.72;0.4;0.82;0.67;0.0;0.49;0.87;0.24
Percival;0.33;0.87;0.19;0.57;1;0.24;0.97;0.8;0.45;0.08;0.32;0.51
Bors the Younger;0.93;0.11;0.55;0.71;0.55;1;0.81;0.54;0.96;0.6;0.59;0.44
Lamorak;0.6;0.38;0.58;0.29;0.19;0.19;1;0.61;0.66;0.48;0.09;0.76
Kay Sir Gareth;0.88;0.92;0.84;0.9;0.92;0.54;0.39;1;0.71;0.28;0.81;0.85
Bedivere;0.9;0.59;0.95;0.58;0.45;0.66;1.0;0.92;1;0.79;0.08;0.61
Gaheris;0.49;0.63;0.85;0.24;0.73;0.12;0.22;0.79;0.33;1;0.82;0.1
Galahad;0.15;0.7;0.05;0.57;0.91;0.53;0.68;0.03;0.63;0.61;1;0.58
Tristan;0.39;0.37;0.98;0.04;0.02;0.96;0.18;0.12;0.21;0.8;0.94;1
